baseline-CC,baseline-ACC,baseline-MS,baseline-DyS,real_baseline
0.55,0.62,0.62,0.86,0.65
0.55,0.62,0.62,0.86,0.65
0.56,0.62,0.62,0.86,0.65
0.56,0.62,0.62,0.86,0.65
0.56,0.62,0.62,0.86,0.65
0.55,0.62,0.62,0.85,0.65
0.55,0.62,0.62,0.85,0.65
0.55,0.62,0.62,0.85,0.65
0.55,0.62,0.62,0.85,0.65
0.55,0.62,0.62,0.85,0.65
0.55,0.62,0.62,0.86,0.65
0.55,0.62,0.62,0.86,0.65
0.55,0.62,0.62,0.86,0.65
0.55,0.62,0.62,0.86,0.65
0.55,0.62,0.62,0.86,0.65
0.56,0.62,0.62,0.87,0.65
0.56,0.62,0.62,0.86,0.65
0.56,0.62,0.62,0.87,0.66
0.56,0.62,0.62,0.87,0.66
0.56,0.62,0.62,0.87,0.65
0.56,0.63,0.63,0.87,0.65
0.56,0.62,0.62,0.87,0.65
0.56,0.62,0.62,0.87,0.65
0.56,0.63,0.63,0.88,0.65
0.56,0.63,0.63,0.88,0.65
0.56,0.63,0.63,0.88,0.65
0.56,0.64,0.64,0.88,0.65
0.56,0.64,0.64,0.88,0.65
0.56,0.64,0.64,0.89,0.65
0.56,0.64,0.64,0.89,0.65
0.56,0.64,0.64,0.89,0.65
0.57,0.64,0.64,0.89,0.65
0.57,0.65,0.65,0.9,0.65
0.57,0.65,0.65,0.89,0.65
0.57,0.65,0.65,0.9,0.65
0.57,0.65,0.65,0.9,0.65
0.57,0.65,0.65,0.9,0.65
0.57,0.65,0.65,0.9,0.65
0.57,0.65,0.65,0.9,0.65
0.57,0.65,0.65,0.9,0.65
0.57,0.65,0.65,0.9,0.65
0.57,0.65,0.65,0.9,0.65
0.57,0.66,0.66,0.91,0.65
0.57,0.66,0.66,0.9,0.65
0.57,0.66,0.66,0.9,0.65
0.58,0.66,0.66,0.9,0.65
0.58,0.66,0.66,0.9,0.66
0.57,0.66,0.66,0.9,0.66
0.57,0.66,0.66,0.9,0.66
0.58,0.66,0.66,0.9,0.66
0.58,0.66,0.66,0.9,0.66
0.58,0.66,0.66,0.9,0.66
0.57,0.66,0.66,0.9,0.66
0.57,0.65,0.65,0.9,0.66
0.57,0.65,0.65,0.9,0.66
0.57,0.65,0.65,0.9,0.66
0.57,0.65,0.65,0.9,0.66
0.57,0.66,0.66,0.9,0.66
0.58,0.66,0.66,0.9,0.66
0.58,0.66,0.66,0.9,0.66
0.58,0.66,0.66,0.9,0.66
0.58,0.66,0.66,0.9,0.66
0.58,0.66,0.66,0.9,0.66
0.58,0.66,0.66,0.9,0.66
0.58,0.66,0.66,0.9,0.66
0.58,0.66,0.66,0.9,0.66
0.57,0.66,0.66,0.9,0.66
0.57,0.65,0.65,0.89,0.66
0.57,0.65,0.65,0.89,0.66
0.57,0.65,0.65,0.89,0.66
0.57,0.65,0.65,0.89,0.66
0.57,0.66,0.66,0.89,0.66
0.57,0.66,0.66,0.89,0.66
0.57,0.65,0.65,0.89,0.66
0.57,0.65,0.65,0.89,0.66
0.57,0.65,0.65,0.89,0.66
0.57,0.65,0.65,0.88,0.66
0.57,0.65,0.65,0.88,0.66
0.57,0.65,0.65,0.88,0.66
0.57,0.64,0.64,0.88,0.66
0.57,0.65,0.65,0.88,0.66
0.57,0.65,0.65,0.88,0.66
0.57,0.64,0.64,0.88,0.66
0.57,0.64,0.64,0.88,0.66
0.57,0.64,0.64,0.88,0.66
0.57,0.65,0.65,0.88,0.66
0.57,0.64,0.64,0.88,0.66
0.56,0.64,0.64,0.88,0.66
0.56,0.64,0.64,0.87,0.66
0.56,0.64,0.64,0.88,0.66
0.56,0.64,0.64,0.87,0.66
0.56,0.63,0.63,0.87,0.66
0.56,0.64,0.64,0.87,0.66
0.56,0.63,0.63,0.87,0.66
0.56,0.63,0.63,0.87,0.66
0.56,0.62,0.62,0.87,0.66
0.56,0.62,0.62,0.87,0.66
0.55,0.62,0.62,0.86,0.66
0.55,0.62,0.62,0.85,0.66
0.55,0.62,0.62,0.85,0.66
0.55,0.62,0.62,0.85,0.66
0.55,0.62,0.62,0.85,0.66
0.55,0.62,0.62,0.85,0.66
0.55,0.62,0.62,0.86,0.66
0.56,0.62,0.62,0.86,0.66
0.56,0.62,0.62,0.86,0.66
0.56,0.63,0.63,0.86,0.66
0.56,0.63,0.63,0.86,0.67
0.56,0.63,0.63,0.86,0.67
0.56,0.63,0.63,0.87,0.67
0.56,0.64,0.64,0.87,0.67
0.56,0.64,0.64,0.88,0.67
0.56,0.64,0.64,0.88,0.67
0.56,0.64,0.64,0.87,0.67
0.56,0.64,0.64,0.87,0.67
0.56,0.64,0.64,0.87,0.67
0.56,0.64,0.64,0.88,0.67
0.57,0.64,0.64,0.88,0.67
0.57,0.64,0.64,0.88,0.67
0.57,0.65,0.65,0.88,0.67
0.57,0.65,0.65,0.88,0.67
0.57,0.65,0.65,0.88,0.68
0.57,0.65,0.65,0.88,0.68
0.57,0.65,0.65,0.88,0.68
0.57,0.65,0.65,0.88,0.68
0.57,0.65,0.65,0.88,0.67
0.57,0.65,0.65,0.88,0.67
0.57,0.65,0.65,0.88,0.67
0.57,0.65,0.65,0.88,0.67
0.57,0.65,0.65,0.88,0.67
0.57,0.65,0.65,0.88,0.67
0.57,0.65,0.65,0.88,0.67
0.57,0.65,0.65,0.88,0.67
0.57,0.65,0.65,0.88,0.68
0.57,0.65,0.65,0.88,0.68
0.57,0.65,0.65,0.88,0.68
0.57,0.65,0.65,0.88,0.68
0.57,0.65,0.65,0.88,0.67
0.57,0.65,0.65,0.88,0.67
0.57,0.66,0.66,0.88,0.67
0.57,0.65,0.65,0.88,0.67
0.57,0.66,0.66,0.88,0.67
0.57,0.66,0.66,0.88,0.67
0.58,0.66,0.66,0.89,0.67
0.57,0.66,0.66,0.88,0.67
0.57,0.66,0.66,0.88,0.67
0.58,0.66,0.66,0.88,0.67
0.58,0.66,0.66,0.88,0.67
0.58,0.66,0.66,0.89,0.67
0.58,0.66,0.66,0.88,0.67
0.58,0.66,0.66,0.88,0.67
0.57,0.66,0.66,0.88,0.67
0.57,0.66,0.66,0.88,0.67
0.57,0.65,0.65,0.88,0.67
0.57,0.66,0.66,0.88,0.67
0.58,0.66,0.66,0.88,0.67
0.58,0.66,0.66,0.88,0.67
0.57,0.66,0.66,0.88,0.67
0.57,0.66,0.66,0.89,0.67
0.58,0.66,0.66,0.89,0.67
0.58,0.66,0.66,0.89,0.67
0.58,0.66,0.66,0.89,0.67
0.58,0.67,0.67,0.9,0.67
0.58,0.67,0.67,0.9,0.67
0.58,0.66,0.66,0.9,0.67
0.58,0.66,0.66,0.89,0.67
0.58,0.67,0.67,0.9,0.67
0.58,0.66,0.66,0.89,0.67
0.58,0.66,0.66,0.89,0.67
0.58,0.66,0.66,0.89,0.66
0.58,0.67,0.67,0.9,0.66
0.58,0.67,0.67,0.9,0.67
0.58,0.67,0.67,0.9,0.67
0.58,0.67,0.67,0.9,0.67
0.58,0.67,0.67,0.9,0.67
0.58,0.66,0.66,0.89,0.66
0.58,0.66,0.66,0.89,0.66
0.58,0.66,0.66,0.89,0.66
0.57,0.66,0.66,0.89,0.66
0.58,0.66,0.66,0.89,0.66
0.57,0.66,0.66,0.89,0.66
0.57,0.65,0.65,0.89,0.66
0.57,0.65,0.65,0.89,0.66
0.57,0.66,0.66,0.89,0.66
0.57,0.66,0.66,0.89,0.66
0.57,0.65,0.65,0.88,0.66
0.57,0.65,0.65,0.88,0.66
0.57,0.65,0.65,0.88,0.66
0.57,0.65,0.65,0.88,0.66
0.57,0.65,0.65,0.88,0.66
0.57,0.65,0.65,0.88,0.66
0.57,0.65,0.65,0.88,0.66
0.57,0.65,0.65,0.88,0.66
0.57,0.65,0.65,0.88,0.66
0.57,0.65,0.65,0.89,0.66
0.57,0.65,0.65,0.89,0.66
0.57,0.65,0.65,0.89,0.66
0.57,0.65,0.65,0.89,0.66
0.57,0.65,0.65,0.89,0.66
0.57,0.65,0.65,0.89,0.66
0.57,0.65,0.65,0.89,0.66
0.57,0.65,0.65,0.89,0.66
0.57,0.65,0.65,0.89,0.66
0.57,0.65,0.65,0.89,0.66
0.57,0.65,0.65,0.89,0.66
0.57,0.65,0.65,0.89,0.66
0.57,0.64,0.64,0.89,0.65
0.57,0.64,0.64,0.89,0.65
0.57,0.65,0.65,0.89,0.65
0.57,0.65,0.65,0.89,0.65
0.57,0.65,0.65,0.89,0.65
0.57,0.65,0.65,0.88,0.65
0.57,0.65,0.65,0.88,0.65
0.57,0.65,0.65,0.88,0.65
0.57,0.65,0.65,0.88,0.65
0.57,0.65,0.65,0.88,0.65
0.57,0.65,0.65,0.88,0.65
0.57,0.66,0.66,0.89,0.65
0.57,0.65,0.65,0.88,0.65
0.57,0.65,0.65,0.88,0.65
0.57,0.65,0.65,0.88,0.65
0.57,0.65,0.65,0.89,0.65
0.57,0.66,0.66,0.89,0.65
0.57,0.65,0.65,0.89,0.65
0.57,0.66,0.66,0.89,0.65
0.57,0.65,0.65,0.89,0.65
0.57,0.65,0.65,0.89,0.65
0.57,0.65,0.65,0.88,0.65
0.57,0.65,0.65,0.88,0.65
0.57,0.66,0.66,0.89,0.65
0.57,0.66,0.66,0.89,0.65
0.57,0.66,0.66,0.89,0.65
0.57,0.66,0.66,0.89,0.65
0.58,0.66,0.66,0.89,0.65
0.58,0.66,0.66,0.89,0.65
0.58,0.66,0.66,0.89,0.65
0.58,0.67,0.67,0.9,0.65
0.58,0.66,0.66,0.89,0.65
0.58,0.66,0.66,0.89,0.65
0.58,0.66,0.66,0.89,0.65
0.58,0.67,0.67,0.9,0.65
0.58,0.67,0.67,0.9,0.65
0.58,0.66,0.66,0.9,0.65
0.58,0.67,0.67,0.9,0.65
0.58,0.66,0.66,0.9,0.65
0.58,0.67,0.67,0.9,0.65
0.58,0.66,0.66,0.9,0.65
0.58,0.66,0.66,0.9,0.65
0.58,0.67,0.67,0.91,0.65
0.58,0.67,0.67,0.91,0.66
0.58,0.67,0.67,0.91,0.66
0.58,0.66,0.66,0.91,0.66
0.58,0.67,0.67,0.91,0.66
0.58,0.67,0.67,0.91,0.66
0.58,0.67,0.67,0.91,0.66
0.58,0.67,0.67,0.91,0.65
0.58,0.67,0.67,0.91,0.65
0.58,0.67,0.67,0.91,0.65
0.58,0.67,0.67,0.91,0.65
0.58,0.66,0.66,0.91,0.65
0.58,0.66,0.66,0.91,0.65
0.58,0.66,0.66,0.91,0.65
0.58,0.66,0.66,0.91,0.65
0.58,0.66,0.66,0.91,0.65
0.58,0.66,0.66,0.91,0.65
0.57,0.66,0.66,0.9,0.65
0.57,0.65,0.65,0.9,0.65
0.57,0.65,0.65,0.9,0.65
0.57,0.65,0.65,0.89,0.65
0.57,0.65,0.65,0.89,0.64
0.57,0.65,0.65,0.9,0.64
0.57,0.65,0.65,0.9,0.64
0.57,0.65,0.65,0.89,0.65
0.57,0.65,0.65,0.89,0.64
0.57,0.65,0.65,0.89,0.64
0.57,0.65,0.65,0.9,0.64
0.57,0.65,0.65,0.89,0.64
0.57,0.65,0.65,0.9,0.64
0.57,0.65,0.65,0.89,0.64
0.57,0.65,0.65,0.89,0.64
0.57,0.65,0.65,0.89,0.64
0.57,0.65,0.65,0.89,0.64
0.57,0.65,0.65,0.9,0.65
0.57,0.65,0.65,0.9,0.64
0.57,0.65,0.65,0.9,0.64
0.57,0.65,0.65,0.9,0.65
0.57,0.65,0.65,0.9,0.65
0.57,0.65,0.65,0.9,0.65
0.57,0.64,0.64,0.9,0.64
0.57,0.65,0.65,0.9,0.64
0.57,0.65,0.65,0.9,0.65
0.57,0.64,0.64,0.9,0.65
0.57,0.64,0.64,0.9,0.65
0.56,0.64,0.64,0.9,0.65
0.56,0.64,0.64,0.9,0.65
0.56,0.63,0.63,0.9,0.65
0.56,0.63,0.63,0.9,0.65
0.56,0.63,0.63,0.9,0.65
0.56,0.62,0.62,0.89,0.64
0.56,0.62,0.62,0.89,0.64
0.56,0.63,0.63,0.9,0.64
0.56,0.63,0.63,0.89,0.64
0.56,0.63,0.63,0.89,0.64
0.56,0.62,0.62,0.89,0.64
0.56,0.62,0.62,0.89,0.64
0.56,0.62,0.62,0.89,0.64
0.56,0.63,0.63,0.9,0.64
0.56,0.63,0.63,0.9,0.64
0.56,0.64,0.64,0.91,0.64
0.56,0.63,0.63,0.91,0.64
0.56,0.63,0.63,0.91,0.64
0.56,0.63,0.63,0.91,0.64
0.56,0.63,0.63,0.91,0.64
0.56,0.63,0.63,0.91,0.64
0.56,0.63,0.63,0.9,0.64
0.56,0.63,0.63,0.92,0.64
0.56,0.63,0.63,0.92,0.64
0.56,0.64,0.64,0.92,0.64
0.56,0.64,0.64,0.92,0.64
0.56,0.64,0.64,0.92,0.64
0.56,0.64,0.64,0.92,0.64
0.56,0.64,0.64,0.92,0.64
0.56,0.64,0.64,0.91,0.64
0.56,0.64,0.64,0.91,0.64
0.56,0.63,0.63,0.91,0.64
0.56,0.63,0.63,0.91,0.64
0.56,0.64,0.64,0.92,0.64
0.56,0.64,0.64,0.92,0.64
0.56,0.64,0.64,0.92,0.65
0.56,0.64,0.64,0.92,0.65
0.56,0.64,0.64,0.92,0.65
0.56,0.64,0.64,0.92,0.65
0.56,0.64,0.64,0.92,0.65
0.56,0.64,0.64,0.92,0.65
0.56,0.64,0.64,0.92,0.65
0.56,0.64,0.64,0.92,0.65
0.56,0.64,0.64,0.92,0.65
0.57,0.64,0.64,0.92,0.66
0.57,0.64,0.64,0.92,0.66
0.56,0.64,0.64,0.92,0.66
0.56,0.64,0.64,0.92,0.66
0.56,0.64,0.64,0.91,0.65
0.57,0.64,0.64,0.91,0.66
0.56,0.64,0.64,0.91,0.66
0.56,0.64,0.64,0.91,0.66
0.57,0.64,0.64,0.91,0.65
0.57,0.64,0.64,0.91,0.66
0.57,0.64,0.64,0.92,0.66
0.57,0.65,0.65,0.93,0.66
0.57,0.65,0.65,0.93,0.66
0.57,0.65,0.65,0.93,0.66
0.57,0.65,0.65,0.93,0.66
0.57,0.65,0.65,0.93,0.66
0.57,0.65,0.65,0.94,0.66
0.57,0.65,0.65,0.94,0.66
0.57,0.65,0.65,0.94,0.66
0.57,0.66,0.66,0.94,0.66
0.57,0.66,0.66,0.94,0.66
0.57,0.66,0.66,0.94,0.66
0.57,0.65,0.65,0.94,0.66
0.57,0.66,0.66,0.94,0.66
0.57,0.66,0.66,0.93,0.66
0.57,0.66,0.66,0.93,0.65
0.57,0.66,0.66,0.93,0.66
0.58,0.66,0.66,0.93,0.66
0.57,0.66,0.66,0.93,0.66
0.57,0.66,0.66,0.93,0.66
0.57,0.65,0.65,0.93,0.66
0.57,0.65,0.65,0.93,0.66
0.57,0.65,0.65,0.92,0.66
0.57,0.65,0.65,0.92,0.66
0.57,0.65,0.65,0.92,0.65
0.57,0.65,0.65,0.92,0.65
0.57,0.65,0.65,0.92,0.66
0.57,0.65,0.65,0.92,0.66
0.57,0.65,0.65,0.92,0.65
0.57,0.65,0.65,0.92,0.65
0.57,0.65,0.65,0.92,0.65
0.57,0.65,0.65,0.92,0.65
0.57,0.65,0.65,0.92,0.66
0.57,0.65,0.65,0.92,0.66
0.57,0.65,0.65,0.92,0.66
0.57,0.65,0.65,0.92,0.66
0.57,0.65,0.65,0.92,0.66
0.57,0.65,0.65,0.92,0.65
0.57,0.65,0.65,0.92,0.65
0.57,0.65,0.65,0.92,0.65
0.57,0.65,0.65,0.92,0.65
0.57,0.65,0.65,0.92,0.65
0.57,0.65,0.65,0.91,0.66
0.57,0.65,0.65,0.91,0.66
0.57,0.65,0.65,0.91,0.66
0.57,0.65,0.65,0.91,0.66
0.57,0.65,0.65,0.91,0.65
0.57,0.65,0.65,0.92,0.66
0.57,0.66,0.66,0.92,0.66
0.58,0.66,0.66,0.92,0.66
0.58,0.66,0.66,0.92,0.66
0.58,0.66,0.66,0.93,0.65
0.58,0.66,0.66,0.93,0.65
0.58,0.66,0.66,0.92,0.66
0.58,0.66,0.66,0.92,0.66
0.58,0.66,0.66,0.93,0.66
0.58,0.67,0.67,0.93,0.66
0.58,0.67,0.67,0.93,0.66
0.58,0.67,0.67,0.93,0.66
0.58,0.67,0.67,0.93,0.66
0.58,0.66,0.66,0.93,0.66
0.58,0.66,0.66,0.92,0.66
0.58,0.66,0.66,0.92,0.66
0.58,0.66,0.66,0.92,0.66
0.58,0.66,0.66,0.92,0.66
0.58,0.66,0.66,0.92,0.66
0.58,0.67,0.67,0.92,0.66
0.58,0.66,0.66,0.92,0.66
0.58,0.66,0.66,0.92,0.66
0.58,0.66,0.66,0.92,0.66
0.58,0.66,0.66,0.92,0.66
0.58,0.66,0.66,0.92,0.66
0.58,0.66,0.66,0.92,0.66
0.58,0.67,0.67,0.92,0.66
0.58,0.67,0.67,0.92,0.67
0.58,0.67,0.67,0.92,0.67
0.58,0.67,0.67,0.93,0.67
0.58,0.67,0.67,0.93,0.67
0.58,0.67,0.67,0.93,0.67
0.58,0.67,0.67,0.93,0.67
0.58,0.67,0.67,0.93,0.67
0.58,0.67,0.67,0.93,0.67
0.58,0.67,0.67,0.93,0.67
0.58,0.67,0.67,0.93,0.67
0.59,0.68,0.68,0.94,0.67
0.59,0.68,0.68,0.94,0.67
0.58,0.67,0.67,0.94,0.67
0.58,0.67,0.67,0.94,0.67
0.58,0.67,0.67,0.94,0.67
0.58,0.67,0.67,0.94,0.66
0.58,0.67,0.67,0.94,0.66
0.59,0.68,0.68,0.94,0.66
0.59,0.68,0.68,0.94,0.67
0.59,0.68,0.68,0.94,0.67
0.59,0.68,0.68,0.94,0.67
0.59,0.68,0.68,0.94,0.67
0.59,0.68,0.68,0.95,0.67
0.59,0.68,0.68,0.95,0.67
0.59,0.68,0.68,0.95,0.67
0.59,0.68,0.68,0.95,0.67
0.59,0.68,0.68,0.95,0.67
0.59,0.68,0.68,0.95,0.67
0.59,0.68,0.68,0.95,0.67
0.59,0.68,0.68,0.95,0.67
0.58,0.67,0.67,0.95,0.67
0.59,0.68,0.68,0.95,0.67
0.59,0.68,0.68,0.95,0.67
0.59,0.68,0.68,0.96,0.67
0.59,0.68,0.68,0.96,0.67
0.59,0.69,0.69,0.97,0.67
0.59,0.69,0.69,0.97,0.67
0.6,0.69,0.69,0.97,0.67
0.6,0.7,0.7,0.97,0.67
0.6,0.7,0.7,0.97,0.67
0.6,0.7,0.7,0.97,0.67
0.6,0.7,0.7,0.97,0.67
0.6,0.7,0.7,0.98,0.67
0.6,0.7,0.7,0.98,0.67
0.6,0.7,0.7,0.98,0.67
0.6,0.7,0.7,0.98,0.67
0.6,0.7,0.7,0.97,0.67
0.6,0.7,0.7,0.98,0.67
0.6,0.7,0.7,0.98,0.67
0.6,0.7,0.7,0.98,0.67
0.6,0.7,0.7,0.98,0.67
0.6,0.71,0.71,0.98,0.67
0.6,0.71,0.71,0.98,0.67
0.6,0.71,0.71,0.98,0.67
0.6,0.71,0.71,0.98,0.68
0.6,0.71,0.71,0.98,0.68
0.61,0.71,0.71,0.98,0.68
0.61,0.72,0.72,0.98,0.68
0.61,0.72,0.72,0.98,0.68
0.61,0.72,0.72,0.98,0.68
0.61,0.72,0.72,0.98,0.68
0.61,0.72,0.72,0.98,0.68
0.61,0.71,0.71,0.98,0.68
0.6,0.71,0.71,0.98,0.68
0.6,0.71,0.71,0.98,0.67
0.6,0.71,0.71,0.98,0.68
0.6,0.71,0.71,0.98,0.68
0.6,0.71,0.71,0.98,0.68
0.6,0.71,0.71,0.98,0.68
0.6,0.71,0.71,0.98,0.68
0.6,0.71,0.71,0.98,0.68
0.6,0.71,0.71,0.98,0.68
0.6,0.7,0.7,0.98,0.68
0.6,0.71,0.71,0.98,0.68
0.6,0.7,0.7,0.98,0.68
0.6,0.7,0.7,0.98,0.68
0.6,0.71,0.71,0.98,0.68
0.6,0.71,0.71,0.98,0.68
0.61,0.71,0.71,0.98,0.68
0.61,0.71,0.71,0.98,0.68
0.61,0.71,0.71,0.98,0.68
0.6,0.71,0.71,0.97,0.68
0.6,0.71,0.71,0.97,0.68
0.6,0.71,0.71,0.97,0.68
0.6,0.71,0.71,0.97,0.68
0.6,0.71,0.71,0.97,0.68
0.6,0.71,0.71,0.97,0.68
0.61,0.71,0.71,0.97,0.68
0.61,0.71,0.71,0.97,0.68
0.61,0.71,0.71,0.97,0.68
0.61,0.71,0.71,0.97,0.68
0.61,0.72,0.72,0.97,0.68
0.61,0.72,0.72,0.97,0.68
0.61,0.72,0.72,0.96,0.68
0.61,0.71,0.71,0.95,0.68
0.61,0.72,0.72,0.96,0.68
0.61,0.72,0.72,0.96,0.68
0.61,0.72,0.72,0.96,0.68
0.61,0.72,0.72,0.96,0.68
0.61,0.72,0.72,0.96,0.68
0.61,0.72,0.72,0.96,0.68
0.61,0.72,0.72,0.96,0.68
0.61,0.72,0.72,0.96,0.68
0.61,0.72,0.72,0.96,0.68
0.61,0.72,0.72,0.96,0.68
0.61,0.71,0.71,0.96,0.68
0.61,0.71,0.71,0.96,0.68
0.61,0.72,0.72,0.96,0.68
0.61,0.72,0.72,0.96,0.68
0.61,0.71,0.71,0.96,0.68
0.61,0.71,0.71,0.96,0.68
0.61,0.71,0.71,0.96,0.68
0.61,0.71,0.71,0.96,0.68
0.6,0.71,0.71,0.95,0.67
0.6,0.71,0.71,0.95,0.67
0.6,0.71,0.71,0.95,0.67
0.6,0.71,0.71,0.95,0.67
0.6,0.71,0.71,0.94,0.67
0.6,0.71,0.71,0.94,0.67
0.6,0.71,0.71,0.94,0.67
0.6,0.71,0.71,0.94,0.67
0.6,0.7,0.7,0.93,0.67
0.6,0.71,0.71,0.93,0.67
0.6,0.7,0.7,0.93,0.67
0.6,0.7,0.7,0.93,0.67
0.6,0.7,0.7,0.93,0.67
0.6,0.7,0.7,0.93,0.67
0.6,0.69,0.69,0.93,0.67
0.59,0.69,0.69,0.92,0.67
0.59,0.69,0.69,0.92,0.67
0.59,0.69,0.69,0.92,0.67
0.59,0.69,0.69,0.92,0.67
0.6,0.69,0.69,0.92,0.66
0.6,0.69,0.69,0.93,0.66
0.6,0.69,0.69,0.93,0.66
0.59,0.69,0.69,0.93,0.66
0.59,0.69,0.69,0.93,0.66
0.59,0.69,0.69,0.93,0.66
0.59,0.69,0.69,0.93,0.66
0.59,0.69,0.69,0.93,0.66
0.59,0.69,0.69,0.93,0.66
0.59,0.69,0.69,0.93,0.66
0.59,0.69,0.69,0.93,0.66
0.6,0.69,0.69,0.93,0.66
0.6,0.69,0.69,0.93,0.66
0.6,0.69,0.69,0.93,0.66
0.6,0.7,0.7,0.93,0.66
0.6,0.7,0.7,0.93,0.67
0.6,0.7,0.7,0.93,0.67
0.6,0.7,0.7,0.93,0.67
0.6,0.7,0.7,0.93,0.67
0.6,0.7,0.7,0.93,0.67
0.6,0.71,0.71,0.94,0.67
0.6,0.71,0.71,0.93,0.66
0.6,0.71,0.71,0.93,0.66
0.6,0.71,0.71,0.94,0.66
0.6,0.71,0.71,0.94,0.67
0.61,0.71,0.71,0.94,0.67
0.61,0.72,0.72,0.94,0.66
0.61,0.71,0.71,0.94,0.66
0.6,0.71,0.71,0.94,0.66
0.61,0.71,0.71,0.94,0.66
0.61,0.71,0.71,0.94,0.66
0.61,0.71,0.71,0.94,0.66
0.6,0.71,0.71,0.93,0.66
0.61,0.71,0.71,0.93,0.66
0.61,0.72,0.72,0.94,0.66
0.61,0.72,0.72,0.94,0.66
0.61,0.72,0.72,0.94,0.66
0.61,0.72,0.72,0.94,0.66
0.61,0.73,0.73,0.94,0.67
0.61,0.73,0.73,0.94,0.66
0.61,0.73,0.73,0.94,0.66
0.61,0.73,0.73,0.94,0.66
0.62,0.73,0.73,0.94,0.66
0.61,0.73,0.73,0.94,0.66
0.62,0.73,0.73,0.94,0.66
0.62,0.73,0.73,0.95,0.66
0.62,0.73,0.73,0.95,0.66
0.62,0.73,0.73,0.95,0.66
0.62,0.73,0.73,0.95,0.66
0.61,0.73,0.73,0.95,0.67
0.61,0.73,0.73,0.95,0.67
0.61,0.73,0.73,0.95,0.67
0.61,0.73,0.73,0.95,0.67
0.61,0.72,0.72,0.95,0.66
0.61,0.73,0.73,0.95,0.66
0.61,0.73,0.73,0.95,0.66
0.61,0.72,0.72,0.95,0.66
0.61,0.72,0.72,0.95,0.66
0.61,0.72,0.72,0.95,0.66
0.61,0.72,0.72,0.95,0.66
0.61,0.72,0.72,0.95,0.66
0.61,0.72,0.72,0.95,0.66
0.61,0.72,0.72,0.95,0.66
0.61,0.72,0.72,0.95,0.66
0.61,0.72,0.72,0.95,0.66
0.61,0.72,0.72,0.95,0.66
0.61,0.72,0.72,0.95,0.66
0.61,0.72,0.72,0.95,0.66
0.61,0.72,0.72,0.95,0.66
0.61,0.72,0.72,0.95,0.66
0.61,0.72,0.72,0.96,0.66
0.61,0.73,0.73,0.96,0.66
0.61,0.72,0.72,0.96,0.66
0.61,0.72,0.72,0.96,0.66
0.61,0.72,0.72,0.96,0.66
0.61,0.72,0.72,0.96,0.66
0.61,0.72,0.72,0.96,0.66
0.61,0.72,0.72,0.96,0.66
0.61,0.72,0.72,0.96,0.66
0.61,0.72,0.72,0.96,0.66
0.61,0.72,0.72,0.96,0.66
0.61,0.72,0.72,0.96,0.66
0.61,0.72,0.72,0.96,0.66
0.61,0.72,0.72,0.96,0.66
0.61,0.72,0.72,0.96,0.66
0.61,0.72,0.72,0.96,0.66
0.61,0.71,0.72,0.95,0.66
0.61,0.71,0.72,0.95,0.66
0.61,0.71,0.72,0.95,0.66
0.61,0.71,0.72,0.95,0.66
0.61,0.71,0.72,0.95,0.66
0.61,0.72,0.72,0.95,0.67
0.61,0.71,0.72,0.95,0.67
0.6,0.71,0.72,0.95,0.67
0.6,0.71,0.72,0.94,0.67
0.6,0.71,0.71,0.94,0.66
0.6,0.71,0.72,0.94,0.66
0.6,0.71,0.72,0.95,0.67
0.61,0.71,0.72,0.95,0.67
0.61,0.71,0.72,0.95,0.67
0.61,0.71,0.72,0.95,0.67
0.61,0.71,0.72,0.95,0.67
0.61,0.71,0.72,0.95,0.67
0.61,0.71,0.72,0.95,0.67
0.61,0.72,0.72,0.95,0.67
0.61,0.72,0.72,0.94,0.67
0.61,0.72,0.72,0.95,0.67
0.61,0.71,0.72,0.94,0.67
0.61,0.72,0.72,0.95,0.67
0.61,0.72,0.72,0.95,0.67
0.61,0.72,0.73,0.95,0.67
0.61,0.72,0.73,0.95,0.67
0.61,0.72,0.73,0.95,0.67
0.61,0.72,0.73,0.95,0.67
0.61,0.72,0.73,0.95,0.67
0.61,0.72,0.73,0.95,0.67
0.61,0.72,0.73,0.95,0.67
0.61,0.72,0.73,0.95,0.67
0.61,0.72,0.73,0.95,0.67
0.61,0.72,0.73,0.95,0.67
0.61,0.72,0.73,0.95,0.67
0.61,0.72,0.73,0.95,0.67
0.61,0.72,0.73,0.95,0.67
0.61,0.72,0.73,0.95,0.67
0.61,0.72,0.73,0.95,0.67
0.61,0.72,0.73,0.95,0.67
0.61,0.72,0.73,0.95,0.67
0.61,0.72,0.73,0.95,0.67
0.61,0.72,0.73,0.95,0.67
0.61,0.72,0.73,0.95,0.67
0.61,0.72,0.73,0.95,0.67
0.61,0.72,0.73,0.95,0.67
0.61,0.72,0.73,0.95,0.67
0.61,0.72,0.73,0.95,0.67
0.61,0.72,0.73,0.95,0.67
0.61,0.72,0.73,0.95,0.67
0.61,0.72,0.73,0.95,0.67
0.61,0.72,0.73,0.95,0.67
0.61,0.72,0.73,0.95,0.67
0.61,0.72,0.73,0.95,0.67
0.61,0.72,0.73,0.95,0.67
0.61,0.72,0.73,0.95,0.67
0.61,0.72,0.73,0.95,0.67
0.61,0.71,0.72,0.95,0.67
0.61,0.72,0.73,0.95,0.67
