baseline-CC,baseline-ACC,baseline-MS,baseline-DyS,real_baseline
0.5,0.54,0.55,0.54,0.5
0.51,0.55,0.57,0.55,0.5
0.5,0.54,0.55,0.54,0.5
0.5,0.54,0.55,0.54,0.49
0.51,0.55,0.57,0.55,0.5
0.51,0.55,0.57,0.55,0.5
0.52,0.57,0.59,0.56,0.5
0.51,0.55,0.57,0.55,0.5
0.5,0.54,0.55,0.53,0.49
0.49,0.52,0.54,0.52,0.48
0.49,0.52,0.54,0.52,0.48
0.48,0.5,0.52,0.5,0.48
0.48,0.5,0.52,0.5,0.48
0.47,0.48,0.5,0.49,0.48
0.46,0.46,0.48,0.47,0.47
0.45,0.45,0.46,0.46,0.46
0.44,0.43,0.45,0.45,0.45
0.44,0.43,0.45,0.45,0.44
0.43,0.41,0.43,0.43,0.44
0.42,0.39,0.41,0.42,0.43
0.41,0.37,0.39,0.41,0.42
0.42,0.39,0.41,0.42,0.42
0.42,0.39,0.41,0.42,0.42
0.42,0.39,0.41,0.42,0.43
0.41,0.37,0.39,0.41,0.43
0.41,0.37,0.39,0.4,0.42
0.41,0.37,0.39,0.4,0.43
0.4,0.36,0.38,0.39,0.42
0.41,0.37,0.39,0.4,0.42
0.41,0.37,0.39,0.4,0.42
0.41,0.37,0.39,0.4,0.43
0.41,0.37,0.39,0.4,0.43
0.42,0.39,0.39,0.41,0.43
0.43,0.41,0.41,0.42,0.43
0.44,0.43,0.43,0.43,0.43
0.44,0.43,0.43,0.43,0.43
0.43,0.41,0.41,0.41,0.43
0.44,0.43,0.43,0.43,0.43
0.44,0.43,0.43,0.43,0.43
0.44,0.43,0.43,0.43,0.43
0.43,0.41,0.41,0.41,0.42
0.44,0.43,0.43,0.43,0.42
0.43,0.41,0.41,0.41,0.42
0.42,0.39,0.39,0.4,0.41
0.43,0.41,0.41,0.41,0.41
0.43,0.41,0.41,0.41,0.41
0.42,0.39,0.39,0.4,0.41
0.43,0.41,0.41,0.41,0.4
0.42,0.39,0.39,0.39,0.4
0.41,0.37,0.37,0.39,0.39
0.4,0.36,0.36,0.37,0.38
0.41,0.37,0.37,0.39,0.38
0.41,0.37,0.37,0.39,0.38
0.42,0.39,0.39,0.4,0.39
0.42,0.39,0.39,0.4,0.39
0.42,0.39,0.39,0.4,0.4
0.43,0.41,0.41,0.42,0.4
0.43,0.41,0.41,0.42,0.4
0.43,0.41,0.41,0.42,0.4
0.44,0.43,0.43,0.44,0.4
0.45,0.45,0.45,0.45,0.41
0.46,0.46,0.46,0.46,0.41
0.46,0.46,0.46,0.46,0.42
0.45,0.45,0.45,0.44,0.41
0.45,0.45,0.45,0.44,0.4
0.45,0.45,0.45,0.44,0.39
0.45,0.45,0.43,0.44,0.39
0.44,0.43,0.42,0.42,0.39
0.44,0.43,0.42,0.42,0.38
0.45,0.45,0.43,0.44,0.39
0.44,0.43,0.42,0.42,0.39
0.44,0.43,0.42,0.43,0.38
0.44,0.43,0.42,0.43,0.38
0.43,0.41,0.4,0.41,0.38
0.43,0.41,0.4,0.41,0.37
0.43,0.41,0.4,0.41,0.37
0.44,0.43,0.41,0.42,0.36
0.44,0.43,0.41,0.43,0.36
0.44,0.43,0.41,0.43,0.36
0.43,0.41,0.39,0.41,0.36
0.43,0.41,0.39,0.41,0.35
0.43,0.41,0.39,0.41,0.35
0.43,0.41,0.39,0.41,0.35
0.43,0.41,0.39,0.42,0.36
0.42,0.39,0.39,0.41,0.37
0.42,0.39,0.38,0.4,0.36
0.41,0.37,0.36,0.38,0.35
0.41,0.37,0.36,0.38,0.35
0.4,0.36,0.34,0.36,0.34
0.4,0.36,0.35,0.36,0.33
0.4,0.36,0.34,0.36,0.34
0.4,0.36,0.35,0.36,0.33
0.39,0.34,0.33,0.34,0.33
0.39,0.34,0.34,0.35,0.33
0.39,0.34,0.33,0.34,0.33
0.4,0.36,0.35,0.35,0.32
0.4,0.36,0.35,0.35,0.32
0.39,0.34,0.33,0.33,0.32
0.4,0.36,0.35,0.35,0.32
0.4,0.36,0.35,0.35,0.32
0.4,0.36,0.35,0.35,0.32
0.39,0.34,0.35,0.34,0.32
0.4,0.36,0.37,0.36,0.33
0.41,0.37,0.38,0.37,0.34
0.41,0.37,0.39,0.38,0.35
0.4,0.36,0.38,0.37,0.34
0.39,0.34,0.35,0.35,0.34
0.39,0.34,0.35,0.35,0.33
0.4,0.36,0.37,0.37,0.34
0.4,0.36,0.38,0.37,0.35
0.4,0.36,0.38,0.37,0.35
0.4,0.36,0.38,0.37,0.34
0.4,0.36,0.38,0.36,0.35
0.4,0.36,0.38,0.36,0.34
0.4,0.36,0.37,0.36,0.33
0.4,0.36,0.36,0.36,0.33
0.4,0.36,0.38,0.36,0.33
0.39,0.34,0.36,0.35,0.33
0.39,0.34,0.37,0.35,0.33
0.39,0.34,0.37,0.35,0.32
0.39,0.34,0.37,0.36,0.32
0.39,0.34,0.36,0.35,0.33
0.39,0.34,0.36,0.35,0.32
0.38,0.32,0.35,0.33,0.33
0.39,0.34,0.35,0.34,0.32
0.39,0.34,0.35,0.35,0.31
0.38,0.32,0.33,0.33,0.32
0.39,0.34,0.36,0.35,0.32
0.39,0.34,0.35,0.34,0.32
0.39,0.34,0.35,0.34,0.31
0.39,0.34,0.35,0.34,0.32
0.39,0.34,0.35,0.34,0.31
0.38,0.32,0.33,0.33,0.3
0.37,0.3,0.33,0.32,0.3
0.36,0.29,0.32,0.31,0.3
0.37,0.3,0.34,0.33,0.31
0.37,0.3,0.34,0.33,0.31
0.37,0.3,0.33,0.32,0.31
0.37,0.3,0.33,0.32,0.3
0.37,0.3,0.31,0.3,0.31
0.38,0.32,0.33,0.32,0.32
0.38,0.32,0.33,0.32,0.33
0.38,0.32,0.34,0.33,0.32
0.39,0.34,0.36,0.35,0.33
0.38,0.32,0.34,0.34,0.33
0.38,0.32,0.34,0.34,0.32
0.39,0.34,0.36,0.35,0.33
0.38,0.32,0.35,0.34,0.33
0.38,0.32,0.35,0.34,0.33
0.39,0.34,0.36,0.35,0.34
0.39,0.34,0.36,0.35,0.34
0.39,0.34,0.36,0.35,0.35
0.39,0.34,0.36,0.35,0.34
0.38,0.32,0.34,0.33,0.34
