baseline-CC,baseline-ACC,baseline-MS,baseline-DyS,real_baseline
0.49,0.49,0.49,0.48,0.5
0.49,0.49,0.49,0.48,0.49
0.48,0.48,0.48,0.47,0.49
0.49,0.49,0.49,0.48,0.49
0.49,0.49,0.49,0.48,0.49
0.48,0.48,0.48,0.47,0.49
0.47,0.47,0.47,0.46,0.48
0.47,0.47,0.47,0.46,0.47
0.46,0.46,0.46,0.45,0.47
0.46,0.46,0.46,0.45,0.46
0.46,0.46,0.46,0.45,0.46
0.45,0.45,0.45,0.44,0.46
0.45,0.45,0.45,0.44,0.45
0.45,0.45,0.45,0.44,0.45
0.44,0.44,0.44,0.43,0.45
0.44,0.44,0.44,0.43,0.44
0.43,0.43,0.43,0.42,0.44
0.42,0.41,0.41,0.41,0.43
0.42,0.41,0.41,0.41,0.42
0.43,0.43,0.43,0.42,0.43
0.43,0.43,0.43,0.42,0.43
0.42,0.41,0.41,0.41,0.43
0.41,0.4,0.4,0.4,0.42
0.4,0.39,0.39,0.39,0.41
0.39,0.38,0.38,0.38,0.4
0.38,0.37,0.37,0.37,0.39
0.38,0.37,0.37,0.37,0.38
0.38,0.37,0.37,0.37,0.37
0.38,0.37,0.37,0.37,0.38
0.38,0.37,0.37,0.37,0.38
0.38,0.37,0.37,0.37,0.37
0.38,0.37,0.37,0.37,0.38
0.38,0.37,0.37,0.37,0.37
0.37,0.36,0.36,0.36,0.37
0.38,0.37,0.37,0.37,0.37
0.38,0.37,0.37,0.37,0.38
0.38,0.37,0.37,0.37,0.37
0.37,0.36,0.36,0.36,0.37
0.37,0.36,0.36,0.36,0.36
0.37,0.36,0.36,0.36,0.36
0.37,0.36,0.36,0.36,0.36
0.37,0.36,0.36,0.36,0.36
0.37,0.36,0.36,0.36,0.36
0.36,0.35,0.35,0.35,0.36
0.35,0.34,0.34,0.34,0.35
0.34,0.33,0.33,0.33,0.34
0.34,0.33,0.33,0.33,0.33
0.33,0.32,0.32,0.32,0.33
0.33,0.32,0.32,0.32,0.32
0.33,0.32,0.32,0.32,0.33
0.34,0.33,0.33,0.33,0.33
0.34,0.33,0.33,0.33,0.33
0.33,0.32,0.32,0.32,0.33
0.33,0.32,0.32,0.32,0.32
0.32,0.31,0.31,0.31,0.32
0.33,0.32,0.32,0.32,0.32
0.32,0.31,0.31,0.31,0.32
0.32,0.31,0.31,0.31,0.31
0.32,0.31,0.31,0.31,0.31
0.32,0.31,0.31,0.31,0.31
0.32,0.31,0.31,0.31,0.31
0.32,0.31,0.31,0.31,0.31
0.31,0.3,0.3,0.3,0.31
0.3,0.29,0.29,0.29,0.3
0.31,0.3,0.3,0.3,0.29
0.3,0.29,0.29,0.29,0.29
0.3,0.29,0.29,0.29,0.28
0.31,0.3,0.3,0.3,0.29
0.3,0.29,0.29,0.29,0.29
0.29,0.28,0.28,0.28,0.28
0.28,0.27,0.27,0.27,0.27
0.28,0.27,0.27,0.27,0.26
0.27,0.26,0.26,0.26,0.26
0.27,0.26,0.26,0.26,0.25
0.26,0.24,0.24,0.25,0.25
0.26,0.24,0.24,0.25,0.24
0.26,0.24,0.24,0.25,0.25
0.26,0.24,0.24,0.25,0.24
0.26,0.24,0.24,0.25,0.24
0.26,0.24,0.24,0.25,0.24
0.25,0.23,0.23,0.24,0.24
0.24,0.22,0.22,0.23,0.23
0.25,0.23,0.23,0.24,0.22
0.25,0.23,0.23,0.23,0.22
0.24,0.22,0.22,0.22,0.22
0.24,0.22,0.22,0.22,0.21
0.24,0.22,0.22,0.22,0.22
0.23,0.21,0.21,0.21,0.21
0.23,0.21,0.2,0.21,0.2
0.24,0.22,0.22,0.22,0.19
0.23,0.21,0.2,0.2,0.19
0.23,0.21,0.2,0.2,0.18
0.23,0.21,0.2,0.2,0.18
